"","Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"1","Aatrox","TOP","Fair",47.7,-10.13,45.6,76.83,5.82,4.95,1.82,9.24
"2","Aatrox","MID","Fair",44.07,1.2,49.43,16.5,1.27,4.95,2.21,9.24
"3","Ahri","MID","Strong",54.79,-1.77,50.37,92.06,6.26,3.45,2.6,9.24
"4","Akali","TOP","Strong",62.86,-15.76,46.66,41.44,6.7,33.15,2.06,9.24
"5","Akali","MID","Strong",59.17,-2.35,45.6,57.66,9.14,33.15,2.23,9.24
"6","Alistar","SUPPORT","Weak",43.07,-4.39,48.14,96.35,3.22,0.63,2.39,9.24
"7","Amumu","JUNGLE","Good",49.03,2.98,49.49,93.06,4.05,0.81,2.35,9.24
"8","Anivia","MID","Good",50.65,0.63,52.03,76.86,1.48,0.52,3,9.24
"9","Anivia","SUPPORT","Bad",29.53,-6.5,45.38,14.34,0.25,0.53,2.19,9.24
"10","Annie","MID","Fair",46.96,-1.12,50.92,70.91,1.78,0.73,2.29,9.24
"11","Annie","SUPPORT","Bad",37.52,-1.29,49.56,17.56,0.44,0.78,2.04,9.24
"12","Aphelios","ADC","God",90.97,0,49.78,84.13,13.27,58.15,2.19,9.24
"13","Ashe","ADC","Good",53.07,-7.9,50.22,84.93,9.9,2.05,2.45,9.24
"14","Ashe","SUPPORT","Bad",34.15,0,47.27,10.31,0.69,2.05,2.15,9.24
"15","Aurelion Sol","MID","Good",49.77,-2.98,52.71,84.31,1.12,0.41,2.71,9.24
"16","Azir","MID","Weak",39.3,0.58,46.38,85.19,1.31,0.41,1.97,9.24
"17","Azir","TOP","Bad",36.06,0,47.56,11.65,0.15,0.39,1.88,9.24
"18","Bard","SUPPORT","Strong",56.54,0.58,52.55,94.61,4.42,0.72,2.83,9.24
"19","Blitzcrank","SUPPORT","God",71.86,10.39,50.79,91.72,9.81,22.02,2.44,9.24
"20","Brand","SUPPORT","Good",49.79,2.83,50.66,75.43,4.4,5.5,1.98,9.24
"21","Brand","MID","Weak",42.97,0.43,48.99,17.21,1.07,6.68,2.14,9.24
"22","Braum","SUPPORT","Good",50.74,5.23,49.17,95.39,4.87,1.12,2.76,9.24
"23","Caitlyn","ADC","God",85.06,-6.64,50.5,95.21,23.31,17.34,2.4,9.24
"24","Camille","TOP","Strong",55.87,-3.13,51.07,74.04,5.09,1.45,2.01,9.24
"25","Camille","MID","Fair",48.4,-0.54,53.03,13.04,0.9,1.45,2.34,9.24
"26","Camille","JUNGLE","Weak",40.73,-4,47.7,11.46,0.68,1.45,2.19,9.24
"27","Cassiopeia","MID","Strong",55.57,-4.59,53.44,67.48,4.82,10.84,2.24,9.24
"28","Cassiopeia","TOP","Good",50.3,-0.72,53.6,15.21,1.16,10.84,2,9.24
"29","Cassiopeia","ADC","Fair",47,6.78,54.53,16.05,1.2,10.84,2.48,9.24
"30","Cho'Gath","MID","Fair",48.2,1.56,52.52,23.8,0.91,0.96,2.45,9.24
"31","Cho'Gath","TOP","Fair",47.82,4.45,50.2,59.03,2.31,0.96,2.16,9.24
"32","Cho'Gath","JUNGLE","Weak",40.33,-2.01,47.21,11.23,0.44,1.08,2.37,9.24
"33","Corki","MID","Weak",40.54,0.88,47.08,73.96,0.6,0.29,2.34,9.24
"34","Corki","ADC","Bad",26.67,9,46.15,18.46,0.15,0.33,2.4,9.24
"35","Darius","TOP","God",78.3,-12.66,50.26,89.91,9.27,33.02,2.01,9.24
"36","Diana","MID","God",66.99,14.53,52.53,66.59,10.5,23.68,2.16,9.24
"37","Diana","TOP","Good",49.74,0,51.77,12.2,1.87,23.68,1.95,9.24
"38","Diana","JUNGLE","Fair",45.45,3.47,47.97,19.84,3.15,23.68,2.16,9.24
"39","Dr. Mundo","JUNGLE","Good",49.75,-5.12,50.95,58,2.35,2.39,2.4,9.24
"40","Dr. Mundo","TOP","Good",48.68,3.43,51.37,38.76,1.89,2.54,2.13,9.24
"41","Draven","ADC","Weak",41.41,0.93,49.27,92.1,5.11,11.06,2.14,9.24
"42","Ekko","JUNGLE","God",68.5,0.2,52.27,69.58,11.36,19.78,2.67,9.24
"43","Ekko","MID","Good",51.06,-1.17,50.07,24.65,3.95,19.78,2.37,9.24
"44","Elise","JUNGLE","Strong",60.2,1.87,51.89,98.15,7.9,8.69,2.5,9.24
"45","Evelynn","JUNGLE","Fair",46.46,-2.17,47.9,98.59,3.46,8.28,2.5,9.24
"46","Ezreal","ADC","Good",49.3,-8.04,48.35,89.1,9.95,1.56,2.49,9.24
"47","Fiddlesticks","JUNGLE","Weak",43.57,2.39,48.78,25.74,0.84,1,2.34,9.24
"48","Fiddlesticks","SUPPORT","Weak",41.63,-2.77,49.64,67.81,1.98,0.99,2.08,9.24
"49","Fiora","TOP","God",63.45,-6.13,50.59,90.9,7.89,11.54,1.77,9.24
"50","Fizz","MID","Strong",58.18,0.28,51.92,90.06,6.41,12.37,2.61,9.24
"51","Galio","MID","Fair",45.02,-1.72,48.25,55.03,1.92,0.52,2.59,9.24
"52","Galio","SUPPORT","Bad",35.7,-3.67,47.56,33.42,0.98,0.52,2.22,9.24
"53","Gangplank","TOP","Good",50.11,-0.8,48.45,84.22,3.97,2.01,2.32,9.24
"54","Gangplank","MID","Weak",42.68,-1.01,48.11,14.6,0.66,2.01,2.53,9.24
"55","Garen","TOP","Strong",62.1,-29.66,49.41,82.11,7.41,10.06,2.12,9.24
"56","Garen","MID","Fair",47.29,-6.39,51.62,12.64,0.98,10.91,2.43,9.24
