"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","Strong","68.4","9.7","48.85","84.58","7.38","6.21","1.91","10.25"
"Aatrox","MID","Fair","42.52","-1.32","51.04","11.35","1.01","6.21","2.19","10.25"
"Ahri","MID","Good","53.29","-3.62","48.99","92.12","4.86","1.76","2.49","10.25"
"Akali","MID","God ","81.03","-5.97","46.5","63.52","9.87","35.37","2.21","10.25"
"Akali","TOP","Strong","68.34","-0.46","47.05","35.77","5.4","35.37","1.99","10.25"
"Alistar","SUPPORT","Strong","60.39","0.06","51.06","95.78","6.41","1.32","2.60","10.25"
"Amumu","JUNGLE","Good","51.35","-18.71","50.16","95.76","5.11","11.19","2.50","10.25"
"Anivia","MID","God ","72.59","31.97","52.49","79.09","6.98","17.77","2.60","10.25"
"Anivia","SUPPORT","Weak","36.6","8.24","49.51","11.28","0.88","17.77","2.28","10.25"
"Annie","MID","Good","53.59","-2.63","53.82","76.23","2.4","1.23","2.44","10.25"
"Annie","SUPPORT","Bad","33.31","-4.21","49.22","15.01","0.48","1.28","2.14","10.25"
"Aphelios","ADC","Weak","35.76","-3.34","46.81","94.51","3.5","0.94","2.02","10.25"
"Ashe","ADC","Good","56.13","-0.41","50.5","76.5","10.95","3.45","2.41","10.25"
"Ashe","SUPPORT","Fair","41.95","0","48.69","19.48","2.94","3.59","2.28","10.25"
"Aurelion Sol","MID","Fair","43.82","-3.18","51.36","84.97","0.89","0.26","2.42","10.25"
"Azir","MID","Weak","35.83","-0.53","47.02","87.78","1.5","0.23","2.08","10.25"
"Bard","SUPPORT","Good","55.96","-0.08","51.09","94.51","4.9","1.22","2.81","10.25"
"Blitzcrank","SUPPORT","Strong","58.67","2.59","50.14","90.94","5.87","11.04","2.46","10.25"
"Brand","SUPPORT","Good","52.4","-4.15","49.49","75.46","5.4","9.19","1.85","10.25"
"Brand","MID","Good","49.48","-3.78","54.07","16.83","1.36","10.84","2.15","10.25"
"Braum","SUPPORT","Good","47.24","2.32","50.93","94.89","2.6","0.49","2.83","10.25"
"Caitlyn","ADC","Good","50.59","3.89","48.44","94.62","9.84","6.84","2.27","10.25"
"Camille","TOP","God ","90.06","10.55","52.25","87.81","9.55","10.85","2.09","10.25"
"Cassiopeia","MID","Good","47.27","-1.54","51.88","74.17","2.18","1.61","2.09","10.25"
"Cassiopeia","TOP","Weak","40.99","-1.28","52.13","15.36","0.47","1.62","1.90","10.25"
"Cassiopeia","ADC","Weak","39.59","0","50.94","10.14","0.31","1.62","2.23","10.25"
"Cho'Gath","TOP","Good","48.62","-1.21","50.69","67.81","2.32","0.93","2.21","10.25"
"Cho'Gath","MID","Fair","42.97","-0.3","51.41","18.34","0.54","0.93","2.44","10.25"
"Corki","MID","Weak","39.46","-7.92","49.6","75.62","0.76","0.25","2.30","10.25"
"Corki","ADC","Weak","37.2","-2.39","49.51","15.16","0.14","0.27","2.30","10.25"
"Darius","TOP","God ","90.16","18.41","51.55","88.41","7.64","31.93","2.01","10.25"
"Diana","MID","Strong","57.2","4.3","51.8","81.61","4.88","3.51","2.20","10.25"
"Dr. Mundo","JUNGLE","Weak","37.61","-12.89","48.74","56.99","1.39","0.98","2.46","10.25"
"Dr. Mundo","TOP","Bad","32.02","-7.08","45.91","39.25","1.14","1.04","1.85","10.25"
"Draven","ADC","Weak","40.35","-6.85","47.97","92.25","4.57","4.55","2.13","10.25"
"Ekko","JUNGLE","Strong","63.14","17.13","51.16","57.84","8.34","9.69","2.78","10.25"
"Ekko","MID","Strong","62.65","-3.13","52.36","36.83","5.51","9.69","2.38","10.25"
"Elise","JUNGLE","Good","49.28","1.86","51.38","97.13","3.68","2","2.61","10.25"
"Evelynn","JUNGLE","Good","51.71","3.13","49.85","98.32","4.93","11.37","2.80","10.25"
"Ezreal","ADC","Strong","66.34","-4.74","47.72","91.83","20.51","5.51","2.40","10.25"
"Fiddlesticks","JUNGLE","Good","50.86","-0.21","51.77","86.33","3.81","3.18","2.67","10.25"
"Fiddlesticks","SUPPORT","Bad","35.43","2.66","50.4","10.42","0.4","3.04","2.15","10.25"
"Fiora","TOP","Strong","63.23","2.45","50.45","92.26","5.76","7.77","1.76","10.25"
"Fizz","MID","God ","69.65","-7.88","51.4","92.26","6.67","21.35","2.50","10.25"
"Galio","MID","Strong","59.51","-0.27","53.44","67.02","3.77","2.09","2.76","10.25"
